Lowerbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
0.75	4216	574	6408	13237	10624	13811	24435	0.39683735370635986	0.9584389328956604	0.8801670074462891	0.6738101243972778	0.6031626462936401	0.0415610671043396	0.11983299255371094	0.32618987560272217	0.7142623066902161	0.5470351576805115
0.69	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.7	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.71	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.72	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.67	4235	556	6563	13083	10798	13639	24437	0.3922022581100464	0.9592345356941223	0.8839491009712219	0.665937066078186	0.6077977418899536	0.040765464305877686	0.11605089902877808	0.33406293392181396	0.7086794376373291	0.5433318018913269
0.66	4234	556	6605	13041	10839	13597	24436	0.3906264305114746	0.9591086506843567	0.8839248418807983	0.6637992262840271	0.6093735694885254	0.04089134931564331	0.11607515811920166	0.3362007737159729	0.7069487571716309	0.5418132543563843
0.68	4221	570	6593	13052	10814	13622	24436	0.3903273642063141	0.9581559300422668	0.8810269236564636	0.6643929481506348	0.6096726655960083	0.041844069957733154	0.11897307634353638	0.33560705184936523	0.7068669199943542	0.5409804582595825
0.65	4232	558	6646	12999	10878	13557	24435	0.38904210925102234	0.9588404297828674	0.8835073113441467	0.6616950631141663	0.6109578609466553	0.04115957021713257	0.11649268865585327	0.33830493688583374	0.7051770091056824	0.5402093529701233
0.53	4259	531	6910	12736	11169	13267	24436	0.38132330775260925	0.9599758982658386	0.8891440629959106	0.6482744812965393	0.6186766624450684	0.04002410173416138	0.11085593700408936	0.3517255187034607	0.6954902410507202	0.5337427258491516
0.54	4259	531	6910	12736	11169	13267	24436	0.38132330775260925	0.9599758982658386	0.8891440629959106	0.6482744812965393	0.6186766624450684	0.04002410173416138	0.11085593700408936	0.3517255187034607	0.6954902410507202	0.5337427258491516
0.55	4259	531	6910	12736	11169	13267	24436	0.38132330775260925	0.9599758982658386	0.8891440629959106	0.6482744812965393	0.6186766624450684	0.04002410173416138	0.11085593700408936	0.3517255187034607	0.6954902410507202	0.5337427258491516
0.52	4253	537	7022	12623	11275	13160	24435	0.3772062063217163	0.959194540977478	0.887891411781311	0.6425553560256958	0.6227937936782837	0.04080545902252197	0.11210858821868896	0.3574446439743042	0.6906486749649048	0.5294739603996277
0.61	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
0.62	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
0.63	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
