Upperbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
2.49	4201	586	10364	9283	14565	9869	24434	0.28843116760253906	0.9406221508979797	0.8775851130485535	0.47248944640159607	0.7115688323974609	0.059377849102020264	0.12241488695144653	0.5275105237960815	0.5518539547920227	0.43416696786880493
2.5	4201	586	10364	9283	14565	9869	24434	0.28843116760253906	0.9406221508979797	0.8775851130485535	0.47248944640159607	0.7115688323974609	0.059377849102020264	0.12241488695144653	0.5275105237960815	0.5518539547920227	0.43416696786880493
2.51	4201	586	10364	9283	14565	9869	24434	0.28843116760253906	0.9406221508979797	0.8775851130485535	0.47248944640159607	0.7115688323974609	0.059377849102020264	0.12241488695144653	0.5275105237960815	0.5518539547920227	0.43416696786880493
2.52	4198	590	10378	9269	14576	9859	24435	0.2880076766014099	0.9401562213897705	0.8767752647399902	0.4717768728733063	0.7119923233985901	0.05984377861022949	0.12322473526000977	0.5282231569290161	0.5511356592178345	0.43358805775642395
2.53	4198	590	10378	9269	14576	9859	24435	0.2880076766014099	0.9401562213897705	0.8767752647399902	0.4717768728733063	0.7119923233985901	0.05984377861022949	0.12322473526000977	0.5282231569290161	0.5511356592178345	0.43358805775642395
2.54	4194	594	10392	9256	14586	9850	24436	0.28753599524497986	0.939695417881012	0.8759398460388184	0.47109121084213257	0.7124639749526978	0.06030458211898804	0.12406015396118164	0.5289087891578674	0.550417423248291	0.4329513609409332
2.55	4190	598	10406	9242	14596	9840	24436	0.28706493973731995	0.9392276406288147	0.8751044273376465	0.47037866711616516	0.7129350900650024	0.0607723593711853	0.12489557266235352	0.5296213626861572	0.549680769443512	0.43231528997421265
2.56	4190	598	10406	9242	14596	9840	24436	0.28706493973731995	0.9392276406288147	0.8751044273376465	0.47037866711616516	0.7129350900650024	0.0607723593711853	0.12489557266235352	0.5296213626861572	0.549680769443512	0.43231528997421265
2.57	4186	602	10419	9228	14605	9830	24435	0.28661417961120605	0.938758909702301	0.8742690086364746	0.4696900248527527	0.713385820388794	0.061241090297698975	0.1257309913635254	0.5303099751472473	0.548966646194458	0.4317021667957306
2.58	4186	602	10419	9228	14605	9830	24435	0.28661417961120605	0.938758909702301	0.8742690086364746	0.4696900248527527	0.713385820388794	0.061241090297698975	0.1257309913635254	0.5303099751472473	0.548966646194458	0.4317021667957306
2.59	4186	602	10419	9228	14605	9830	24435	0.28661417961120605	0.938758909702301	0.8742690086364746	0.4696900248527527	0.713385820388794	0.061241090297698975	0.1257309913635254	0.5303099751472473	0.548966646194458	0.4317021667957306
2.6	4186	602	10419	9228	14605	9830	24435	0.28661417961120605	0.938758909702301	0.8742690086364746	0.4696900248527527	0.713385820388794	0.061241090297698975	0.1257309913635254	0.5303099751472473	0.548966646194458	0.4317021667957306
2.61	4186	602	10419	9228	14605	9830	24435	0.28661417961120605	0.938758909702301	0.8742690086364746	0.4696900248527527	0.713385820388794	0.061241090297698975	0.1257309913635254	0.5303099751472473	0.548966646194458	0.4317021667957306
2.62	4186	602	10419	9228	14605	9830	24435	0.28661417961120605	0.938758909702301	0.8742690086364746	0.4696900248527527	0.713385820388794	0.061241090297698975	0.1257309913635254	0.5303099751472473	0.548966646194458	0.4317021667957306
2.63	4174	614	10460	9187	14634	9801	24435	0.2852261960506439	0.9373533129692078	0.871762752532959	0.4676032066345215	0.7147737741470337	0.06264668703079224	0.12823724746704102	0.5323967933654785	0.5467976331710815	0.42982184886932373
2.64	4174	614	10460	9187	14634	9801	24435	0.2852261960506439	0.9373533129692078	0.871762752532959	0.4676032066345215	0.7147737741470337	0.06264668703079224	0.12823724746704102	0.5323967933654785	0.5467976331710815	0.42982184886932373
2.65	4174	614	10460	9187	14634	9801	24435	0.2852261960506439	0.9373533129692078	0.871762752532959	0.4676032066345215	0.7147737741470337	0.06264668703079224	0.12823724746704102	0.5323967933654785	0.5467976331710815	0.42982184886932373
2.66	4161	627	10500	9148	14661	9775	24436	0.2838141918182373	0.9358567595481873	0.8690476417541504	0.46559447050094604	0.7161858081817627	0.06414324045181274	0.1309523582458496	0.534405529499054	0.544647216796875	0.42788833379745483
2.67	4161	627	10500	9148	14661	9775	24436	0.2838141918182373	0.9358567595481873	0.8690476417541504	0.46559447050094604	0.7161858081817627	0.06414324045181274	0.1309523582458496	0.534405529499054	0.544647216796875	0.42788833379745483
2.68	4124	663	10603	9044	14727	9707	24434	0.28002986311912537	0.9316987991333008	0.8614999055862427	0.4603247344493866	0.7199701070785522	0.06830120086669922	0.13850009441375732	0.539675235748291	0.5389211773872375	0.4226708710193634
2.69	4119	668	10616	9032	14735	9700	24435	0.27953851222991943	0.931134045124054	0.8604553937911987	0.45969054102897644	0.7204614877700806	0.06886595487594604	0.13954460620880127	0.5403094291687012	0.5382034182548523	0.4219854474067688
2.7	4119	668	10616	9032	14735	9700	24435	0.27953851222991943	0.931134045124054	0.8604553937911987	0.45969054102897644	0.7204614877700806	0.06886595487594604	0.13954460620880127	0.5403094291687012	0.5382034182548523	0.4219854474067688
2.71	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.72	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.73	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.74	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.75	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.76	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.77	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.78	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.79	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
2.8	4104	684	10653	8994	14757	9678	24435	0.27810531854629517	0.9293242692947388	0.8571428656578064	0.45777982473373413	0.7218946814537048	0.07067573070526123	0.1428571343421936	0.5422201752662659	0.5360344052314758	0.41995397210121155
